"year","state","acres","farms","cropland","cropland_irr","cropland_nonirr","agland","pastureland","deflator","cpi"
2013,"MISSOURI",28400000,99000,3500,4140,3450,2850,1790,106.90975,232.957083333333
2014,"MISSOURI",28300000,97700,3810,4750,3730,3100,1850,108.82275,236.736166666667
2015,"MISSOURI",28300000,97100,3810,5130,3700,3350,1950,109.9965,237.017
2016,"MISSOURI",28300000,97100,3770,5100,3660,3400,1930,111.436,240.007166666667
1850,"MONTANA",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,"MONTANA",NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,"MONTANA",NA,NA,NA,NA,NA,4,NA,NA,NA
1880,"MONTANA",NA,NA,NA,NA,NA,8,NA,NA,NA
1890,"MONTANA",NA,NA,NA,NA,NA,13,NA,NA,NA
1900,"MONTANA",NA,NA,NA,NA,NA,5,NA,NA,NA
1910,"MONTANA",NA,28800,NA,NA,NA,19,NA,NA,NA
1911,"MONTANA",NA,31500,NA,NA,NA,19,NA,NA,NA
1912,"MONTANA",NA,34000,NA,NA,NA,19,NA,NA,NA
1913,"MONTANA",NA,37000,NA,NA,NA,19,NA,NA,9.88333333333333
1914,"MONTANA",NA,40000,NA,NA,NA,20,NA,NA,10.0166666666667
1915,"MONTANA",NA,45000,NA,NA,NA,19,NA,NA,10.1083333333333
1916,"MONTANA",NA,50000,NA,NA,NA,18,NA,NA,10.8833333333333
1917,"MONTANA",NA,54000,NA,NA,NA,18,NA,NA,12.825
1918,"MONTANA",NA,56000,NA,NA,NA,19,NA,NA,15.0416666666667
1919,"MONTANA",NA,57000,NA,NA,NA,20,NA,NA,17.3333333333333
1920,"MONTANA",NA,57700,NA,NA,NA,22,NA,NA,20.0416666666667
1921,"MONTANA",NA,57000,NA,NA,NA,19,NA,NA,17.85
1922,"MONTANA",NA,55000,NA,NA,NA,17,NA,NA,16.75
1923,"MONTANA",NA,52500,NA,NA,NA,16,NA,NA,17.05
1924,"MONTANA",NA,51000,NA,NA,NA,15,NA,NA,17.125
1925,"MONTANA",NA,50000,NA,NA,NA,14,NA,NA,17.5416666666667
1926,"MONTANA",NA,51000,NA,NA,NA,13,NA,NA,17.7
1927,"MONTANA",NA,52500,NA,NA,NA,13,NA,NA,17.3583333333333
1928,"MONTANA",NA,53500,NA,NA,NA,13,NA,NA,17.1583333333333
1929,"MONTANA",NA,54000,NA,NA,NA,13,NA,NA,17.1583333333333
1930,"MONTANA",NA,55000,NA,NA,NA,12,NA,NA,16.7
1931,"MONTANA",NA,54500,NA,NA,NA,10,NA,NA,15.2083333333333
1932,"MONTANA",NA,54000,NA,NA,NA,8,NA,NA,13.6416666666667
1933,"MONTANA",NA,53500,NA,NA,NA,7,NA,NA,12.9333333333333
1934,"MONTANA",NA,53000,NA,NA,NA,7,NA,NA,13.3833333333333
1935,"MONTANA",NA,52000,NA,NA,NA,7,NA,NA,13.725
1936,"MONTANA",NA,50000,NA,NA,NA,7,NA,NA,13.8666666666667
1937,"MONTANA",NA,48000,NA,NA,NA,8,NA,NA,14.3833333333333
1938,"MONTANA",NA,46000,NA,NA,NA,7,NA,NA,14.0916666666667
1939,"MONTANA",NA,45000,NA,NA,NA,7,NA,NA,13.9083333333333
1940,"MONTANA",NA,44500,NA,NA,NA,8,NA,NA,14.0083333333333
1941,"MONTANA",NA,42000,NA,NA,NA,8,NA,NA,14.725
1942,"MONTANA",NA,41000,NA,NA,NA,8,NA,NA,16.3333333333333
1943,"MONTANA",NA,40800,NA,NA,NA,9,NA,NA,17.3083333333333
1944,"MONTANA",NA,40600,NA,NA,NA,11,NA,NA,17.5916666666667
1945,"MONTANA",NA,40400,NA,NA,NA,12,NA,NA,17.9916666666667
1946,"MONTANA",NA,39800,NA,NA,NA,13,NA,NA,19.5166666666667
1947,"MONTANA",NA,39200,NA,NA,NA,15,NA,12.886,22.325
1948,"MONTANA",NA,38500,NA,NA,NA,17,NA,13.603,24.0416666666667
1949,"MONTANA",NA,37800,NA,NA,NA,18,NA,13.58075,23.8083333333333
1950,"MONTANA",65000000,37200,NA,NA,NA,17,NA,13.7375,24.0666666666667
1951,"MONTANA",65200000,36800,NA,NA,NA,21,NA,14.7145,25.9583333333333
1952,"MONTANA",65500000,36400,NA,NA,NA,23,NA,14.971,26.55
1953,"MONTANA",65800000,35900,NA,NA,NA,24,NA,15.157,26.7666666666667
1954,"MONTANA",66100000,35400,NA,NA,NA,24,NA,15.2975,26.85
1955,"MONTANA",66100000,34800,NA,NA,NA,25,NA,15.55775,26.775
1956,"MONTANA",66200000,34200,NA,NA,NA,27,NA,16.09,27.1833333333333
1957,"MONTANA",66300000,33600,NA,NA,NA,28,NA,16.6245,28.0916666666667
1958,"MONTANA",66500000,33000,NA,NA,NA,30,NA,16.9995,28.8583333333333
1959,"MONTANA",66600000,32400,NA,NA,NA,33,NA,17.23675,29.15
1960,"MONTANA",66700000,31700,NA,NA,NA,35,NA,17.4765,29.575
1961,"MONTANA",66800000,30800,NA,NA,NA,36,NA,17.66775,29.8916666666667
1962,"MONTANA",66800000,30100,NA,NA,NA,38,NA,17.886,30.25
1963,"MONTANA",66800000,29500,NA,NA,NA,39,NA,18.08725,30.625
1964,"MONTANA",67200000,28900,NA,NA,NA,41,NA,18.365,31.0166666666667
1965,"MONTANA",66700000,28400,NA,NA,NA,42,NA,18.7,31.5083333333333
1966,"MONTANA",66200000,28000,NA,NA,NA,47,NA,19.226,32.4583333333333
1967,"MONTANA",65700000,27600,NA,NA,NA,50,NA,19.78475,33.3583333333333
1968,"MONTANA",65200000,27100,NA,NA,NA,54,NA,20.62475,34.7833333333333
1969,"MONTANA",64700000,26700,NA,NA,NA,56,NA,21.6415,36.6833333333333
1970,"MONTANA",64200000,26400,NA,NA,NA,60,NA,22.7845,38.825
1971,"MONTANA",63700000,26000,NA,NA,NA,63,NA,23.9395,40.4916666666667
1972,"MONTANA",63200000,25500,NA,NA,NA,68,NA,24.97325,41.8166666666667
1973,"MONTANA",63000000,25100,NA,NA,NA,76,NA,26.33475,44.4
1974,"MONTANA",62800000,24600,NA,NA,NA,96,NA,28.7075,49.3083333333333
1975,"MONTANA",62200000,23400,NA,NA,NA,112,NA,31.35275,53.8166666666667
1976,"MONTANA",62200000,23400,NA,NA,NA,134,NA,33.07925,56.9083333333333
1977,"MONTANA",62100000,23500,NA,NA,NA,157,NA,35.1265,60.6083333333333
1978,"MONTANA",62100000,23600,NA,NA,NA,176,NA,37.58525,65.2333333333333
1979,"MONTANA",62100000,23700,NA,NA,NA,196,NA,40.70175,72.575
1980,"MONTANA",61900000,23800,NA,NA,NA,235,NA,44.37825,82.4083333333333
1981,"MONTANA",61700000,23900,NA,NA,NA,251,NA,48.5215,90.925
1982,"MONTANA",61500000,24000,NA,NA,NA,271,NA,51.53025,96.5
1983,"MONTANA",61300000,24100,NA,NA,NA,259,NA,53.5535,99.6
1984,"MONTANA",61100000,24200,NA,NA,NA,276,NA,55.45925,103.883333333333
1985,"MONTANA",61000000,24300,NA,NA,NA,243,NA,57.23575,107.566666666667
1986,"MONTANA",60900000,24400,NA,NA,NA,233,NA,58.393,109.608333333333
1987,"MONTANA",60800000,24500,NA,NA,NA,200,NA,59.8785,113.625
1988,"MONTANA",60700000,24600,NA,NA,NA,205,NA,61.9735,118.258333333333
1989,"MONTANA",60600000,24700,NA,NA,NA,202,NA,64.38775,123.966666666667
1990,"MONTANA",60500000,24700,NA,NA,NA,222,NA,66.77425,130.658333333333
1991,"MONTANA",60300000,24700,NA,NA,NA,219,NA,68.993,136.191666666667
1992,"MONTANA",60000000,24300,NA,NA,NA,219,NA,70.5635,140.316666666667
1993,"MONTANA",59900000,25000,NA,NA,NA,227,NA,72.24375,144.458333333333
1994,"MONTANA",59600000,26000,NA,NA,NA,254,NA,73.7805,148.225
1995,"MONTANA",59400000,26000,NA,NA,NA,277,NA,75.32125,152.383333333333
1996,"MONTANA",58500000,26500,NA,NA,NA,289,NA,76.695,156.85
1997,"MONTANA",57800000,27000,458,1290,340,291,190,78.0085,160.516666666667
1998,"MONTANA",59000000,27500,463,1310,343,294,197,78.85475,163.008333333333
1999,"MONTANA",59200000,27800,471,1360,345,310,210,80.0605,166.575
2000,"MONTANA",59300000,27800,481,1410,350,330,225,81.88275,172.2
2001,"MONTANA",59600000,27800,493,1470,355,350,240,83.75275,177.066666666667
2002,"MONTANA",59800000,27900,503,1510,360,370,255,85.0375,179.875
2003,"MONTANA",60300000,28000,520,1580,370,390,270,86.7285,183.958333333333
2004,"MONTANA",60400000,28000,503,1620,390,400,280,89.1135,188.883333333333
2005,"MONTANA",60600000,28000,588,1860,460,480,340,91.98125,195.291666666667
2006,"MONTANA",60800000,28100,756,2500,580,720,630,94.8115,201.591666666667
2007,"MONTANA",60900000,29500,784,3000,560,830,740,97.33375,207.342416666667
2008,"MONTANA",60600000,29300,811,3300,580,900,760,99.24975,215.3025
2009,"MONTANA",60500000,29500,788,2800,600,700,530,99.99975,214.537
2010,"MONTANA",60600000,29100,779,2690,600,700,530,101.217,218.0555
2011,"MONTANA",60700000,28700,806,2690,630,710,530,103.30725,224.939166666667
2012,"MONTANA",59800000,28000,852,2690,680,760,570,105.213,229.593916666667
2013,"MONTANA",59700000,28100,890,2780,710,790,580,106.90975,232.957083333333
2014,"MONTANA",59700000,27800,987,2950,800,860,640,108.82275,236.736166666667
2015,"MONTANA",59700000,27500,997,2960,810,890,650,109.9965,237.017
2016,"MONTANA",59700000,27500,1010,2980,820,900,650,111.436,240.007166666667
1850,"NEBRASKA",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,"NEBRASKA",NA,NA,NA,NA,NA,6,NA,NA,NA
1870,"NEBRASKA",NA,NA,NA,NA,NA,12,NA,NA,NA
1880,"NEBRASKA",NA,NA,NA,NA,NA,11,NA,NA,NA
1890,"NEBRASKA",NA,NA,NA,NA,NA,19,NA,NA,NA
1900,"NEBRASKA",NA,NA,NA,NA,NA,19,NA,NA,NA
1910,"NEBRASKA",NA,130000,NA,NA,NA,47,NA,NA,NA
1911,"NEBRASKA",NA,130000,NA,NA,NA,48,NA,NA,NA
1912,"NEBRASKA",NA,129000,NA,NA,NA,49,NA,NA,NA
1913,"NEBRASKA",NA,129000,NA,NA,NA,50,NA,NA,9.88333333333333
1914,"NEBRASKA",NA,128000,NA,NA,NA,51,NA,NA,10.0166666666667
1915,"NEBRASKA",NA,128000,NA,NA,NA,50,NA,NA,10.1083333333333
1916,"NEBRASKA",NA,127000,NA,NA,NA,51,NA,NA,10.8833333333333
1917,"NEBRASKA",NA,127000,NA,NA,NA,54,NA,NA,12.825
1918,"NEBRASKA",NA,127000,NA,NA,NA,62,NA,NA,15.0416666666667
1919,"NEBRASKA",NA,127000,NA,NA,NA,71,NA,NA,17.3333333333333
1920,"NEBRASKA",NA,127000,NA,NA,NA,88,NA,NA,20.0416666666667
1921,"NEBRASKA",NA,127000,NA,NA,NA,82,NA,NA,17.85
1922,"NEBRASKA",NA,127000,NA,NA,NA,71,NA,NA,16.75
1923,"NEBRASKA",NA,128000,NA,NA,NA,68,NA,NA,17.05
1924,"NEBRASKA",NA,128000,NA,NA,NA,63,NA,NA,17.125
1925,"NEBRASKA",NA,129000,NA,NA,NA,60,NA,NA,17.5416666666667
1926,"NEBRASKA",NA,129000,NA,NA,NA,60,NA,NA,17.7
1927,"NEBRASKA",NA,129000,NA,NA,NA,58,NA,NA,17.3583333333333
1928,"NEBRASKA",NA,129000,NA,NA,NA,57,NA,NA,17.1583333333333
1929,"NEBRASKA",NA,129100,NA,NA,NA,57,NA,NA,17.1583333333333
1930,"NEBRASKA",NA,130000,NA,NA,NA,56,NA,NA,16.7
1931,"NEBRASKA",NA,131000,NA,NA,NA,52,NA,NA,15.2083333333333
1932,"NEBRASKA",NA,132000,NA,NA,NA,44,NA,NA,13.6416666666667
1933,"NEBRASKA",NA,133000,NA,NA,NA,35,NA,NA,12.9333333333333
1934,"NEBRASKA",NA,135000,NA,NA,NA,35,NA,NA,13.3833333333333
1935,"NEBRASKA",NA,134000,NA,NA,NA,34,NA,NA,13.725
1936,"NEBRASKA",NA,131000,NA,NA,NA,34,NA,NA,13.8666666666667
1937,"NEBRASKA",NA,128000,NA,NA,NA,32,NA,NA,14.3833333333333
1938,"NEBRASKA",NA,126000,NA,NA,NA,30,NA,NA,14.0916666666667
1939,"NEBRASKA",NA,125000,NA,NA,NA,28,NA,NA,13.9083333333333
1940,"NEBRASKA",NA,123000,NA,NA,NA,24,NA,NA,14.0083333333333
1941,"NEBRASKA",NA,122000,NA,NA,NA,22,NA,NA,14.725
1942,"NEBRASKA",NA,120000,NA,NA,NA,24,NA,NA,16.3333333333333
1943,"NEBRASKA",NA,118000,NA,NA,NA,27,NA,NA,17.3083333333333
1944,"NEBRASKA",NA,115000,NA,NA,NA,33,NA,NA,17.5916666666667
1945,"NEBRASKA",NA,113000,NA,NA,NA,37,NA,NA,17.9916666666667
1946,"NEBRASKA",NA,112000,NA,NA,NA,42,NA,NA,19.5166666666667
1947,"NEBRASKA",NA,111000,NA,NA,NA,47,NA,12.886,22.325
1948,"NEBRASKA",NA,110000,NA,NA,NA,56,NA,13.603,24.0416666666667
1949,"NEBRASKA",NA,109000,NA,NA,NA,62,NA,13.58075,23.8083333333333
1950,"NEBRASKA",48400000,109000,NA,NA,NA,58,NA,13.7375,24.0666666666667
1951,"NEBRASKA",48400000,107000,NA,NA,NA,66,NA,14.7145,25.9583333333333
1952,"NEBRASKA",48300000,105000,NA,NA,NA,72,NA,14.971,26.55
1953,"NEBRASKA",48300000,104000,NA,NA,NA,75,NA,15.157,26.7666666666667
1954,"NEBRASKA",48300000,103000,NA,NA,NA,70,NA,15.2975,26.85
1955,"NEBRASKA",48300000,102000,NA,NA,NA,73,NA,15.55775,26.775
1956,"NEBRASKA",48300000,101000,NA,NA,NA,73,NA,16.09,27.1833333333333
1957,"NEBRASKA",48300000,98000,NA,NA,NA,72,NA,16.6245,28.0916666666667
1958,"NEBRASKA",48300000,96000,NA,NA,NA,79,NA,16.9995,28.8583333333333
1959,"NEBRASKA",48300000,94000,NA,NA,NA,86,NA,17.23675,29.15
1960,"NEBRASKA",48200000,93000,NA,NA,NA,89,NA,17.4765,29.575
1961,"NEBRASKA",48200000,90000,NA,NA,NA,90,NA,17.66775,29.8916666666667
1962,"NEBRASKA",48200000,88000,NA,NA,NA,95,NA,17.886,30.25
1963,"NEBRASKA",48100000,86000,NA,NA,NA,97,NA,18.08725,30.625
1964,"NEBRASKA",48230000,84000,NA,NA,NA,105,NA,18.365,31.0166666666667
1965,"NEBRASKA",48200000,82000,NA,NA,NA,111,NA,18.7,31.5083333333333
1966,"NEBRASKA",48200000,80000,NA,NA,NA,120,NA,19.226,32.4583333333333
1967,"NEBRASKA",48200000,78000,NA,NA,NA,132,NA,19.78475,33.3583333333333
1968,"NEBRASKA",48200000,76000,NA,NA,NA,143,NA,20.62475,34.7833333333333
1969,"NEBRASKA",48200000,74000,NA,NA,NA,150,NA,21.6415,36.6833333333333
1970,"NEBRASKA",48100000,73000,NA,NA,NA,154,NA,22.7845,38.825
1971,"NEBRASKA",48100000,72000,NA,NA,NA,157,NA,23.9395,40.4916666666667
1972,"NEBRASKA",48100000,71000,NA,NA,NA,170,NA,24.97325,41.8166666666667
1973,"NEBRASKA",48100000,70000,NA,NA,NA,193,NA,26.33475,44.4
1974,"NEBRASKA",48100000,70000,NA,NA,NA,242,NA,28.7075,49.3083333333333
1975,"NEBRASKA",47900000,67000,NA,NA,NA,282,NA,31.35275,53.8166666666667
1976,"NEBRASKA",47900000,67000,NA,NA,NA,363,NA,33.07925,56.9083333333333
1977,"NEBRASKA",47800000,66000,NA,NA,NA,420,NA,35.1265,60.6083333333333
1978,"NEBRASKA",47800000,66000,NA,NA,NA,412,NA,37.58525,65.2333333333333
1979,"NEBRASKA",47700000,65000,NA,NA,NA,525,NA,40.70175,72.575
1980,"NEBRASKA",47700000,65000,NA,NA,NA,635,NA,44.37825,82.4083333333333
1981,"NEBRASKA",47700000,65000,NA,NA,NA,729,NA,48.5215,90.925
1982,"NEBRASKA",47500000,63000,NA,NA,NA,730,NA,51.53025,96.5
1983,"NEBRASKA",47400000,62000,NA,NA,NA,701,NA,53.5535,99.6
1984,"NEBRASKA",47200000,61000,NA,NA,NA,645,NA,55.45925,103.883333333333
1985,"NEBRASKA",47200000,60000,NA,NA,NA,485,NA,57.23575,107.566666666667
1986,"NEBRASKA",47200000,59000,NA,NA,NA,416,NA,58.393,109.608333333333
1987,"NEBRASKA",47200000,59000,NA,NA,NA,400,NA,59.8785,113.625
1988,"NEBRASKA",47100000,58000,NA,NA,NA,457,NA,61.9735,118.258333333333
1989,"NEBRASKA",47100000,57000,NA,NA,NA,511,NA,64.38775,123.966666666667
1990,"NEBRASKA",47100000,57000,NA,NA,NA,524,NA,66.77425,130.658333333333
1991,"NEBRASKA",47100000,56000,NA,NA,NA,517,NA,68.993,136.191666666667
1992,"NEBRASKA",47100000,56000,NA,NA,NA,517,NA,70.5635,140.316666666667
1993,"NEBRASKA",46500000,56000,NA,NA,NA,514,NA,72.24375,144.458333333333
1994,"NEBRASKA",46500000,56000,NA,NA,NA,550,NA,73.7805,148.225
1995,"NEBRASKA",46400000,56000,NA,NA,NA,580,NA,75.32125,152.383333333333
1996,"NEBRASKA",46400000,56000,NA,NA,NA,610,NA,76.695,156.85
1997,"NEBRASKA",46400000,55000,1020,1500,775,620,200,78.0085,160.516666666667
1998,"NEBRASKA",46400000,55000,1040,1510,799,645,210,78.85475,163.008333333333
1999,"NEBRASKA",46300000,54000,1080,1530,840,675,220,80.0605,166.575
2000,"NEBRASKA",46100000,52000,1130,1580,890,710,230,81.88275,172.2
2001,"NEBRASKA",46000000,50000,1160,1600,930,735,240,83.75275,177.066666666667
2002,"NEBRASKA",45900000,49400,1200,1630,980,760,245,85.0375,179.875
2003,"NEBRASKA",45900000,48500,1210,1650,980,775,255,86.7285,183.958333333333
2004,"NEBRASKA",45800000,48300,1260,1720,1030,810,270,89.1135,188.883333333333
2005,"NEBRASKA",45700000,48000,1420,1870,1190,910,310,91.98125,195.291666666667
2006,"NEBRASKA",45700000,47600,1560,2030,1330,1030,350,94.8115,201.591666666667
2007,"NEBRASKA",45600000,47700,1760,2230,1520,1140,400,97.33375,207.342416666667
2008,"NEBRASKA",45500000,48200,2050,2650,1750,1330,480,99.24975,215.3025
2009,"NEBRASKA",45500000,48600,2150,2660,1820,1320,443,99.99975,214.537
2010,"NEBRASKA",45400000,49500,2430,3050,2030,1470,459,101.217,218.0555
2011,"NEBRASKA",45400000,49700,3130,4080,2510,1840,503,103.30725,224.939166666667
2012,"NEBRASKA",45300000,50000,4190,5610,3270,2420,617,105.213,229.593916666667
2013,"NEBRASKA",45300000,49600,4860,6700,3730,2800,643,106.90975,232.957083333333
2014,"NEBRASKA",45200000,49100,5180,7100,4000,3120,900,108.82275,236.736166666667
2015,"NEBRASKA",45200000,48700,5070,6870,3970,3050,870,109.9965,237.017
2016,"NEBRASKA",45200000,48700,4850,6560,3800,2950,910,111.436,240.007166666667
1850,"NEVADA",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,"NEVADA",NA,NA,NA,NA,NA,5,NA,NA,NA
1870,"NEVADA",NA,NA,NA,NA,NA,7,NA,NA,NA
1880,"NEVADA",NA,NA,NA,NA,NA,10,NA,NA,NA
1890,"NEVADA",NA,NA,NA,NA,NA,7,NA,NA,NA
1900,"NEVADA",NA,NA,NA,NA,NA,6,NA,NA,NA
1910,"NEVADA",NA,2800,NA,NA,NA,15,NA,NA,NA
1911,"NEVADA",NA,2800,NA,NA,NA,16,NA,NA,NA
1912,"NEVADA",NA,2900,NA,NA,NA,17,NA,NA,NA
1913,"NEVADA",NA,2900,NA,NA,NA,18,NA,NA,9.88333333333333
1914,"NEVADA",NA,3000,NA,NA,NA,19,NA,NA,10.0166666666667
1915,"NEVADA",NA,3000,NA,NA,NA,19,NA,NA,10.1083333333333
1916,"NEVADA",NA,3000,NA,NA,NA,19,NA,NA,10.8833333333333
1917,"NEVADA",NA,3100,NA,NA,NA,19,NA,NA,12.825
1918,"NEVADA",NA,3200,NA,NA,NA,21,NA,NA,15.0416666666667
1919,"NEVADA",NA,3200,NA,NA,NA,24,NA,NA,17.3333333333333
1920,"NEVADA",NA,3300,NA,NA,NA,28,NA,NA,20.0416666666667
1921,"NEVADA",NA,3400,NA,NA,NA,25,NA,NA,17.85
1922,"NEVADA",NA,3500,NA,NA,NA,23,NA,NA,16.75
1923,"NEVADA",NA,3600,NA,NA,NA,21,NA,NA,17.05
1924,"NEVADA",NA,3800,NA,NA,NA,19,NA,NA,17.125
1925,"NEVADA",NA,3900,NA,NA,NA,17,NA,NA,17.5416666666667
1926,"NEVADA",NA,3900,NA,NA,NA,16,NA,NA,17.7
1927,"NEVADA",NA,3800,NA,NA,NA,16,NA,NA,17.3583333333333
1928,"NEVADA",NA,3700,NA,NA,NA,16,NA,NA,17.1583333333333
1929,"NEVADA",NA,3600,NA,NA,NA,16,NA,NA,17.1583333333333
1930,"NEVADA",NA,3500,NA,NA,NA,16,NA,NA,16.7
1931,"NEVADA",NA,3600,NA,NA,NA,15,NA,NA,15.2083333333333
1932,"NEVADA",NA,3500,NA,NA,NA,13,NA,NA,13.6416666666667
1933,"NEVADA",NA,3450,NA,NA,NA,10,NA,NA,12.9333333333333
1934,"NEVADA",NA,3550,NA,NA,NA,10,NA,NA,13.3833333333333
1935,"NEVADA",NA,3700,NA,NA,NA,10,NA,NA,13.725
1936,"NEVADA",NA,3750,NA,NA,NA,11,NA,NA,13.8666666666667
1937,"NEVADA",NA,3750,NA,NA,NA,12,NA,NA,14.3833333333333
1938,"NEVADA",NA,3700,NA,NA,NA,12,NA,NA,14.0916666666667
1939,"NEVADA",NA,3700,NA,NA,NA,12,NA,NA,13.9083333333333
1940,"NEVADA",NA,3700,NA,NA,NA,13,NA,NA,14.0083333333333
1941,"NEVADA",NA,3650,NA,NA,NA,13,NA,NA,14.725
1942,"NEVADA",NA,3600,NA,NA,NA,13,NA,NA,16.3333333333333
1943,"NEVADA",NA,3500,NA,NA,NA,14,NA,NA,17.3083333333333
1944,"NEVADA",NA,3500,NA,NA,NA,16,NA,NA,17.5916666666667
1945,"NEVADA",NA,3450,NA,NA,NA,18,NA,NA,17.9916666666667
1946,"NEVADA",NA,3450,NA,NA,NA,20,NA,NA,19.5166666666667
1947,"NEVADA",NA,3450,NA,NA,NA,21,NA,12.886,22.325
1948,"NEVADA",NA,3400,NA,NA,NA,21,NA,13.603,24.0416666666667
1949,"NEVADA",NA,3350,NA,NA,NA,20,NA,13.58075,23.8083333333333
1950,"NEVADA",7500000,3300,NA,NA,NA,19,NA,13.7375,24.0666666666667
1951,"NEVADA",7700000,3200,NA,NA,NA,22,NA,14.7145,25.9583333333333
1952,"NEVADA",8000000,3200,NA,NA,NA,25,NA,14.971,26.55
1953,"NEVADA",8300000,3100,NA,NA,NA,25,NA,15.157,26.7666666666667
1954,"NEVADA",8600000,3000,NA,NA,NA,27,NA,15.2975,26.85
1955,"NEVADA",8800000,3000,NA,NA,NA,27,NA,15.55775,26.775
1956,"NEVADA",9100000,2900,NA,NA,NA,28,NA,16.09,27.1833333333333
1957,"NEVADA",9200000,2900,NA,NA,NA,29,NA,16.6245,28.0916666666667
1958,"NEVADA",9200000,2800,NA,NA,NA,29,NA,16.9995,28.8583333333333
1959,"NEVADA",9200000,2700,NA,NA,NA,30,NA,17.23675,29.15
1960,"NEVADA",9200000,2600,NA,NA,NA,31,NA,17.4765,29.575
1961,"NEVADA",9200000,2500,NA,NA,NA,33,NA,17.66775,29.8916666666667
1962,"NEVADA",8700000,2400,NA,NA,NA,34,NA,17.886,30.25
1963,"NEVADA",8900000,2300,NA,NA,NA,35,NA,18.08725,30.625
1964,"NEVADA",8800000,2300,NA,NA,NA,36,NA,18.365,31.0166666666667
1965,"NEVADA",8800000,2200,NA,NA,NA,38,NA,18.7,31.5083333333333
1966,"NEVADA",8800000,2200,NA,NA,NA,42,NA,19.226,32.4583333333333
1967,"NEVADA",8800000,2200,NA,NA,NA,45,NA,19.78475,33.3583333333333
1968,"NEVADA",8800000,2100,NA,NA,NA,48,NA,20.62475,34.7833333333333
1969,"NEVADA",9000000,2100,NA,NA,NA,50,NA,21.6415,36.6833333333333
1970,"NEVADA",9000000,2100,NA,NA,NA,53,NA,22.7845,38.825
1971,"NEVADA",9000000,2100,NA,NA,NA,59,NA,23.9395,40.4916666666667
1972,"NEVADA",9000000,2100,NA,NA,NA,66,NA,24.97325,41.8166666666667
1973,"NEVADA",9000000,2100,NA,NA,NA,74,NA,26.33475,44.4
1974,"NEVADA",9000000,2100,NA,NA,NA,85,NA,28.7075,49.3083333333333
1975,"NEVADA",8990000,2200,NA,NA,NA,85,NA,31.35275,53.8166666666667
1976,"NEVADA",8990000,2400,NA,NA,NA,98,NA,33.07925,56.9083333333333
1977,"NEVADA",8990000,2600,NA,NA,NA,112,NA,35.1265,60.6083333333333
1978,"NEVADA",8990000,2900,NA,NA,NA,140,NA,37.58525,65.2333333333333
1979,"NEVADA",8990000,2900,NA,NA,NA,191,NA,40.70175,72.575
1980,"NEVADA",8990000,2900,NA,NA,NA,248,NA,44.37825,82.4083333333333
1981,"NEVADA",8900000,3100,NA,NA,NA,262,NA,48.5215,90.925
1982,"NEVADA",8900000,2900,NA,NA,NA,268,NA,51.53025,96.5
1983,"NEVADA",8900000,2800,NA,NA,NA,249,NA,53.5535,99.6
1984,"NEVADA",8900000,2800,NA,NA,NA,262,NA,55.45925,103.883333333333
1985,"NEVADA",8900000,2700,NA,NA,NA,244,NA,57.23575,107.566666666667
1986,"NEVADA",8900000,2700,NA,NA,NA,219,NA,58.393,109.608333333333
1987,"NEVADA",8900000,2600,NA,NA,NA,240,NA,59.8785,113.625
1988,"NEVADA",8900000,2600,NA,NA,NA,227,NA,61.9735,118.258333333333
1989,"NEVADA",8900000,2500,NA,NA,NA,242,NA,64.38775,123.966666666667
1990,"NEVADA",8900000,2500,NA,NA,NA,207,NA,66.77425,130.658333333333
1991,"NEVADA",8900000,2500,NA,NA,NA,241,NA,68.993,136.191666666667
1992,"NEVADA",8900000,2500,NA,NA,NA,262,NA,70.5635,140.316666666667
1993,"NEVADA",7000000,3100,NA,NA,NA,252,NA,72.24375,144.458333333333
1994,"NEVADA",7000000,3100,NA,NA,NA,268,NA,73.7805,148.225
1995,"NEVADA",7000000,3000,NA,NA,NA,289,NA,75.32125,152.383333333333
1996,"NEVADA",6900000,3000,NA,NA,NA,332,NA,76.695,156.85
1997,"NEVADA",6900000,3000,1700,1700,NA,366,220,78.0085,160.516666666667
1998,"NEVADA",6400000,3150,1850,1850,NA,392,230,78.85475,163.008333333333
1999,"NEVADA",6400000,3150,1850,1850,NA,420,235,80.0605,166.575
2000,"NEVADA",6400000,3100,1850,1850,NA,435,240,81.88275,172.2
2001,"NEVADA",6300000,3050,1850,1850,NA,450,245,83.75275,177.066666666667
2002,"NEVADA",6300000,3000,1850,1850,NA,465,250,85.0375,179.875
2003,"NEVADA",6200000,3000,1900,1900,NA,480,255,86.7285,183.958333333333
2004,"NEVADA",6100000,3000,1900,1900,NA,490,250,89.1135,188.883333333333
2005,"NEVADA",6100000,3000,2180,2180,NA,620,330,91.98125,195.291666666667
2006,"NEVADA",6000000,3000,2670,2670,NA,830,570,94.8115,201.591666666667
2007,"NEVADA",5900000,3100,2720,2720,NA,980,640,97.33375,207.342416666667
2008,"NEVADA",5900000,3300,2740,2740,NA,1000,650,99.24975,215.3025
2009,"NEVADA",5920000,3500,2690,2690,2700,998,619,99.99975,214.537
2010,"NEVADA",5920000,3750,2690,2690,2700,997,619,101.217,218.0555
